date,location,age_group,frozen_value
2022-04-21,DE,00-04,135
2022-04-22,DE,00-04,129
2022-04-23,DE,00-04,165
2022-04-24,DE,00-04,161
2022-04-25,DE,00-04,151
2022-04-26,DE,00-04,190
2022-04-27,DE,00-04,166
2022-04-28,DE,00-04,158
2022-04-29,DE,00-04,155
2022-04-30,DE,00-04,145
2022-05-01,DE,00-04,125
2022-05-02,DE,00-04,117
2022-05-03,DE,00-04,113
2022-05-04,DE,00-04,117
2022-05-05,DE,00-04,120
2022-05-06,DE,00-04,119
2022-05-07,DE,00-04,125
2022-05-08,DE,00-04,112
2022-05-09,DE,00-04,102
2022-05-10,DE,00-04,112
2022-05-11,DE,00-04,116
2022-05-12,DE,00-04,120
2022-05-13,DE,00-04,116
2022-05-14,DE,00-04,125
2022-05-15,DE,00-04,119
2022-05-16,DE,00-04,118
2022-05-17,DE,00-04,110
2022-05-18,DE,00-04,97
2022-05-19,DE,00-04,98
2022-05-20,DE,00-04,99
2022-05-21,DE,00-04,86
2022-05-22,DE,00-04,82
2022-05-23,DE,00-04,77
2022-05-24,DE,00-04,87
2022-05-25,DE,00-04,76
2022-05-26,DE,00-04,81
2022-05-27,DE,00-04,65
2022-05-28,DE,00-04,67
2022-05-29,DE,00-04,61
2022-05-30,DE,00-04,58
2022-05-31,DE,00-04,56
2022-06-01,DE,00-04,66
2022-06-02,DE,00-04,61
2022-06-03,DE,00-04,81
2022-06-04,DE,00-04,76
2022-06-05,DE,00-04,73
2022-06-06,DE,00-04,69
2022-06-07,DE,00-04,47
2022-06-08,DE,00-04,59
2022-06-09,DE,00-04,67
2022-06-10,DE,00-04,76
2022-06-11,DE,00-04,90
2022-06-12,DE,00-04,84
2022-06-13,DE,00-04,83
2022-06-14,DE,00-04,112
2022-06-15,DE,00-04,125
2022-06-16,DE,00-04,132
2022-06-17,DE,00-04,120
2022-06-18,DE,00-04,132
2022-06-19,DE,00-04,126
2022-06-20,DE,00-04,120
2022-06-21,DE,00-04,134
2022-06-22,DE,00-04,139
2022-06-23,DE,00-04,156
2022-06-24,DE,00-04,179
2022-06-25,DE,00-04,193
2022-06-26,DE,00-04,178
2022-06-27,DE,00-04,166
2022-06-28,DE,00-04,167
2022-06-29,DE,00-04,191
2022-06-30,DE,00-04,201
2022-07-01,DE,00-04,213
2022-07-02,DE,00-04,221
2022-07-03,DE,00-04,206
2022-07-04,DE,00-04,196
2022-07-05,DE,00-04,185
2022-07-06,DE,00-04,184
2022-07-07,DE,00-04,194
2022-07-08,DE,00-04,213
2022-07-09,DE,00-04,207
2022-07-10,DE,00-04,201
2022-07-11,DE,00-04,188
2022-07-12,DE,00-04,186
2022-07-13,DE,00-04,202
2022-07-14,DE,00-04,225
2022-07-15,DE,00-04,220
2022-07-16,DE,00-04,241
2022-07-17,DE,00-04,229
2022-07-18,DE,00-04,215
2022-07-19,DE,00-04,206
2021-11-07,DE,05-14,65
2021-11-08,DE,05-14,70
2021-11-09,DE,05-14,75
2021-11-10,DE,05-14,76
2021-11-11,DE,05-14,82
2021-11-12,DE,05-14,84
2021-11-13,DE,05-14,88
2021-11-14,DE,05-14,82
2021-11-15,DE,05-14,78
2021-11-16,DE,05-14,83
2021-11-17,DE,05-14,97
2021-11-18,DE,05-14,103
2021-11-19,DE,05-14,101
2021-11-20,DE,05-14,105
2021-11-21,DE,05-14,115
2021-11-22,DE,05-14,119
2021-11-23,DE,05-14,124
2021-11-24,DE,05-14,113
2021-11-25,DE,05-14,110
2021-11-26,DE,05-14,101
2021-11-27,DE,05-14,101
2021-11-28,DE,05-14,97
2021-11-29,DE,05-14,90
2021-11-30,DE,05-14,94
2021-12-01,DE,05-14,91
2021-12-02,DE,05-14,98
2021-12-03,DE,05-14,104
2021-12-04,DE,05-14,118
2021-12-05,DE,05-14,115
2021-12-06,DE,05-14,117
2021-12-07,DE,05-14,115
2021-12-08,DE,05-14,118
2021-12-09,DE,05-14,116
2021-12-10,DE,05-14,106
2021-12-11,DE,05-14,99
2021-12-12,DE,05-14,100
2021-12-13,DE,05-14,93
2021-12-14,DE,05-14,97
2021-12-15,DE,05-14,104
2021-12-16,DE,05-14,110
2021-12-17,DE,05-14,109
2021-12-18,DE,05-14,98
2021-12-19,DE,05-14,84
2021-12-20,DE,05-14,92
2021-12-21,DE,05-14,104
2021-12-22,DE,05-14,101
2021-12-23,DE,05-14,98
2021-12-24,DE,05-14,100
2021-12-25,DE,05-14,87
2021-12-26,DE,05-14,79
2021-12-27,DE,05-14,80
2021-12-28,DE,05-14,70
2021-12-29,DE,05-14,62
2021-12-30,DE,05-14,54
2021-12-31,DE,05-14,51
2022-01-01,DE,05-14,52
2022-01-02,DE,05-14,48
2022-01-03,DE,05-14,45
2022-01-04,DE,05-14,55
2022-01-05,DE,05-14,54
2022-01-06,DE,05-14,49
2022-01-07,DE,05-14,47
2022-01-08,DE,05-14,52
2022-01-09,DE,05-14,61
2022-01-10,DE,05-14,64
2022-01-11,DE,05-14,68
2022-01-12,DE,05-14,68
2022-01-13,DE,05-14,89
2022-01-14,DE,05-14,105
2022-01-15,DE,05-14,124
2022-01-16,DE,05-14,131
2022-01-17,DE,05-14,131
2022-01-18,DE,05-14,139
2022-01-19,DE,05-14,136
2022-01-20,DE,05-14,142
2022-01-21,DE,05-14,155
2022-01-22,DE,05-14,156
2022-01-23,DE,05-14,164
2022-01-24,DE,05-14,169
2022-01-25,DE,05-14,193
2022-01-26,DE,05-14,212
2022-01-27,DE,05-14,235
2022-01-28,DE,05-14,237
2022-01-29,DE,05-14,219
2022-01-30,DE,05-14,222
2022-01-31,DE,05-14,230
2022-02-01,DE,05-14,232
2022-02-02,DE,05-14,250
2022-02-03,DE,05-14,252
2022-02-04,DE,05-14,271
2022-02-05,DE,05-14,267
2022-02-06,DE,05-14,273
2022-02-07,DE,05-14,250
2022-02-08,DE,05-14,239
2022-02-09,DE,05-14,244
2022-02-10,DE,05-14,232
2022-02-11,DE,05-14,242
2022-02-12,DE,05-14,247
2022-02-13,DE,05-14,232
2022-02-14,DE,05-14,229
2022-02-15,DE,05-14,210
2022-02-16,DE,05-14,203
2022-02-17,DE,05-14,209
2022-02-18,DE,05-14,199
2022-02-19,DE,05-14,201
2022-02-20,DE,05-14,192
2022-02-21,DE,05-14,192
2022-02-22,DE,05-14,203
2022-02-23,DE,05-14,218
2022-02-24,DE,05-14,207
2022-02-25,DE,05-14,207
2022-02-26,DE,05-14,197
2022-02-27,DE,05-14,187
2022-02-28,DE,05-14,182
2022-03-01,DE,05-14,167
2022-03-02,DE,05-14,151
2022-03-03,DE,05-14,153
2022-03-04,DE,05-14,149
2022-03-05,DE,05-14,161
2022-03-06,DE,05-14,157
2022-03-07,DE,05-14,156
2022-03-08,DE,05-14,168
2022-03-09,DE,05-14,198
2022-03-10,DE,05-14,198
2022-03-11,DE,05-14,195
2022-03-12,DE,05-14,194
2022-03-13,DE,05-14,192
2022-03-14,DE,05-14,179
2022-03-15,DE,05-14,178
2022-03-16,DE,05-14,197
2022-03-17,DE,05-14,197
2022-03-18,DE,05-14,207
2022-03-19,DE,05-14,211
2022-03-20,DE,05-14,202
2022-03-21,DE,05-14,203
2022-03-22,DE,05-14,181
2022-03-23,DE,05-14,167
2022-03-24,DE,05-14,161
2022-03-25,DE,05-14,159
2022-03-26,DE,05-14,153
2022-03-27,DE,05-14,142
2022-03-28,DE,05-14,134
2022-03-29,DE,05-14,143
2022-03-30,DE,05-14,142
2022-03-31,DE,05-14,148
2022-04-01,DE,05-14,151
2022-04-02,DE,05-14,159
2022-04-03,DE,05-14,153
2022-04-04,DE,05-14,145
2022-04-05,DE,05-14,141
2022-04-06,DE,05-14,145
2022-04-07,DE,05-14,139
2022-04-08,DE,05-14,126
2022-04-09,DE,05-14,130
2022-04-10,DE,05-14,127
2022-04-11,DE,05-14,124
2022-04-12,DE,05-14,132
2022-04-13,DE,05-14,123
2022-04-14,DE,05-14,120
2022-04-15,DE,05-14,130
2022-04-16,DE,05-14,107
2022-04-17,DE,05-14,97
2022-04-18,DE,05-14,89
2022-04-19,DE,05-14,70
2022-04-20,DE,05-14,56
2022-04-21,DE,05-14,68
2022-04-22,DE,05-14,69
2022-04-23,DE,05-14,78
2022-04-24,DE,05-14,74
2022-04-25,DE,05-14,72
2022-04-26,DE,05-14,88
2022-04-27,DE,05-14,86
2022-04-28,DE,05-14,75
2022-04-29,DE,05-14,69
2022-04-30,DE,05-14,69
2022-05-01,DE,05-14,66
2022-05-02,DE,05-14,61
2022-05-03,DE,05-14,71
2022-05-04,DE,05-14,70
2022-05-05,DE,05-14,77
2022-05-06,DE,05-14,83
2022-05-07,DE,05-14,72
2022-05-08,DE,05-14,67
2022-05-09,DE,05-14,64
2022-05-10,DE,05-14,72
2022-05-11,DE,05-14,71
2022-05-12,DE,05-14,77
2022-05-13,DE,05-14,79
2022-05-14,DE,05-14,82
2022-05-15,DE,05-14,75
2022-05-16,DE,05-14,71
2022-05-17,DE,05-14,75
2022-05-18,DE,05-14,82
2022-05-19,DE,05-14,81
2022-05-20,DE,05-14,80
2022-05-21,DE,05-14,78
2022-05-22,DE,05-14,75
2022-05-23,DE,05-14,71
2022-05-24,DE,05-14,60
2022-05-25,DE,05-14,48
2022-05-26,DE,05-14,41
2022-05-27,DE,05-14,30
2022-05-28,DE,05-14,33
2022-05-29,DE,05-14,29
2022-05-30,DE,05-14,29
2022-05-31,DE,05-14,35
2022-06-01,DE,05-14,31
2022-06-02,DE,05-14,25
2022-06-03,DE,05-14,30
2022-06-04,DE,05-14,32
2022-06-05,DE,05-14,31
2022-06-06,DE,05-14,30
2022-06-07,DE,05-14,18
2022-06-08,DE,05-14,28
2022-06-09,DE,05-14,38
2022-06-10,DE,05-14,42
2022-06-11,DE,05-14,41
2022-06-12,DE,05-14,40
2022-06-13,DE,05-14,40
2022-06-14,DE,05-14,54
2022-06-15,DE,05-14,49
2022-06-16,DE,05-14,54
2022-06-17,DE,05-14,49
2022-06-18,DE,05-14,52
2022-06-19,DE,05-14,51
2022-06-20,DE,05-14,48
2022-06-21,DE,05-14,53
2022-06-22,DE,05-14,59
2022-06-23,DE,05-14,65
2022-06-24,DE,05-14,78
2022-06-25,DE,05-14,82
2022-06-26,DE,05-14,75
2022-06-27,DE,05-14,72
2022-06-28,DE,05-14,77
2022-06-29,DE,05-14,82
2022-06-30,DE,05-14,86
2022-07-01,DE,05-14,90
2022-07-02,DE,05-14,93
2022-07-03,DE,05-14,90
2022-07-04,DE,05-14,84
2022-07-05,DE,05-14,96
2022-07-06,DE,05-14,98
2022-07-07,DE,05-14,97
2022-07-08,DE,05-14,91
2022-07-09,DE,05-14,93
2022-07-10,DE,05-14,90
2022-07-11,DE,05-14,83
2022-07-12,DE,05-14,93
2022-07-13,DE,05-14,91
2022-07-14,DE,05-14,91
2022-07-15,DE,05-14,96
2022-07-16,DE,05-14,104
2022-07-17,DE,05-14,99
2022-07-18,DE,05-14,93
2022-07-19,DE,05-14,88
2021-11-07,DE,15-34,299
2021-11-08,DE,15-34,293
2021-11-09,DE,15-34,317
2021-11-10,DE,15-34,349
2021-11-11,DE,15-34,366
2021-11-12,DE,15-34,357
2021-11-13,DE,15-34,357
2021-11-14,DE,15-34,341
2021-11-15,DE,15-34,336
2021-11-16,DE,15-34,352
2021-11-17,DE,15-34,373
2021-11-18,DE,15-34,389
2021-11-19,DE,15-34,386
2021-11-20,DE,15-34,395
2021-11-21,DE,15-34,373
2021-11-22,DE,15-34,360
2021-11-23,DE,15-34,381
2021-11-24,DE,15-34,366
2021-11-25,DE,15-34,350
2021-11-26,DE,15-34,353
2021-11-27,DE,15-34,359
2021-11-28,DE,15-34,350
2021-11-29,DE,15-34,339
2021-11-30,DE,15-34,368
2021-12-01,DE,15-34,377
2021-12-02,DE,15-34,394
2021-12-03,DE,15-34,382
2021-12-04,DE,15-34,392
2021-12-05,DE,15-34,371
2021-12-06,DE,15-34,351
2021-12-07,DE,15-34,365
2021-12-08,DE,15-34,398
2021-12-09,DE,15-34,387
2021-12-10,DE,15-34,399
2021-12-11,DE,15-34,411
2021-12-12,DE,15-34,388
2021-12-13,DE,15-34,385
2021-12-14,DE,15-34,376
2021-12-15,DE,15-34,405
2021-12-16,DE,15-34,387
2021-12-17,DE,15-34,375
2021-12-18,DE,15-34,393
2021-12-19,DE,15-34,370
2021-12-20,DE,15-34,364
2021-12-21,DE,15-34,368
2021-12-22,DE,15-34,377
2021-12-23,DE,15-34,356
2021-12-24,DE,15-34,336
2021-12-25,DE,15-34,291
2021-12-26,DE,15-34,262
2021-12-27,DE,15-34,255
2021-12-28,DE,15-34,262
2021-12-29,DE,15-34,280
2021-12-30,DE,15-34,299
2021-12-31,DE,15-34,316
2022-01-01,DE,15-34,341
2022-01-02,DE,15-34,339
2022-01-03,DE,15-34,341
2022-01-04,DE,15-34,373
2022-01-05,DE,15-34,418
2022-01-06,DE,15-34,459
2022-01-07,DE,15-34,468
2022-01-08,DE,15-34,540
2022-01-09,DE,15-34,546
2022-01-10,DE,15-34,555
2022-01-11,DE,15-34,569
2022-01-12,DE,15-34,508
2022-01-13,DE,15-34,533
2022-01-14,DE,15-34,545
2022-01-15,DE,15-34,530
2022-01-16,DE,15-34,530
2022-01-17,DE,15-34,510
2022-01-18,DE,15-34,512
2022-01-19,DE,15-34,535
2022-01-20,DE,15-34,549
2022-01-21,DE,15-34,613
2022-01-22,DE,15-34,646
2022-01-23,DE,15-34,655
2022-01-24,DE,15-34,654
2022-01-25,DE,15-34,683
2022-01-26,DE,15-34,715
2022-01-27,DE,15-34,740
2022-01-28,DE,15-34,745
2022-01-29,DE,15-34,743
2022-01-30,DE,15-34,741
2022-01-31,DE,15-34,704
2022-02-01,DE,15-34,673
2022-02-02,DE,15-34,691
2022-02-03,DE,15-34,723
2022-02-04,DE,15-34,785
2022-02-05,DE,15-34,818
2022-02-06,DE,15-34,761
2022-02-07,DE,15-34,729
2022-02-08,DE,15-34,737
2022-02-09,DE,15-34,799
2022-02-10,DE,15-34,826
2022-02-11,DE,15-34,846
2022-02-12,DE,15-34,802
2022-02-13,DE,15-34,778
2022-02-14,DE,15-34,758
2022-02-15,DE,15-34,727
2022-02-16,DE,15-34,730
2022-02-17,DE,15-34,714
2022-02-18,DE,15-34,744
2022-02-19,DE,15-34,726
2022-02-20,DE,15-34,725
